Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,8450.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5.0,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,3.0,0.0,5.0,706.0,0.0,0,150.0,40.125,GasA,5,Y,1,856.0,854,0,1710.0,1.0,0,2,1,0.5,1,4,8,Typ,0.0,3.461038961038961,Attchd,2003.0,2.0,2.0,548.0,3.0,3.0,1,0,61,0,0,0,0,0,0,2,2008,WD,Normal,208500.0
2,20,RL,80.0,9600.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,2,3.5,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,2.5,4.0,978.0,0.0,0,284.0,1262.0,GasA,5,Y,1,1262.0,0,0,1262.0,0.0,0,2,0,3.0,1,3,6,Typ,1.0,1.5,Attchd,1976.0,2.0,2.0,460.0,3.0,3.0,1,298,0,0,0,0,0,0,0,5,2007,WD,Normal,181500.0
3,60,RL,68.0,11250.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,3.0,1.0,5.0,486.0,0.0,0,434.0,920.0,GasA,5,Y,1,920.0,866,0,1786.0,1.0,0,2,1,3.0,1,4,6,Typ,1.0,3.0,Attchd,2001.0,2.0,2.0,608.0,3.0,3.0,1,0,42,0,0,0,0,0,0,9,2008,WD,Normal,223500.0
4,70,RL,60.0,9550.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,3.5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,2.5,4.0,216.0,0.0,0,540.0,756.0,GasA,4,Y,1,961.0,756,0,1717.0,2.0,0,1,0,3.0,1,4,7,Typ,2.0,4.0,Detchd,1998.0,1.0,3.0,642.0,3.0,3.0,1,0,35,0,0,0,0,0,0,2,2006,WD,Abnorml,140000.0
5,60,RL,84.0,14260.0,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5.0,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,3.0,2.0,5.0,655.0,0.0,0,490.0,1145.0,GasA,5,Y,1,1145.0,1053,0,2198.0,1.0,0,2,1,4.0,1,4,9,Typ,1.0,3.0,Attchd,2000.0,2.0,3.0,836.0,3.0,3.0,1,192,84,0,0,0,0,0,0,12,2008,WD,Normal,250000.0
6,50,RL,85.0,14115.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5.0,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,3.0,0.0,5.0,732.0,0.0,0,64.0,796.0,GasA,5,Y,1,796.0,566,0,1362.0,1.0,0,1,1,4.0,1,3,5,Typ,0.0,3.461038961038961,Attchd,1993.0,1.0,2.0,480.0,3.0,3.0,1,40,30,0,0,0,0,0,0,10,2009,WD,Normal,143000.0
7,20,RL,75.0,10084.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5.0,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,3.0,2.0,5.0,1369.0,0.0,0,317.0,1686.0,GasA,5,Y,1,1694.0,0,0,1694.0,1.0,0,2,0,4.0,1,4,7,Typ,1.0,4.0,Attchd,2004.0,2.0,2.0,636.0,3.0,3.0,1,255,57,0,0,0,0,0,0,8,2007,WD,Normal,307000.0
8,60,RL,70.04995836802665,10382.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6.0,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,1.0,4.0,859.0,0.0,0,216.0,1107.0,GasA,5,Y,1,1107.0,983,0,2090.0,1.0,0,2,1,3.0,1,3,7,Typ,2.0,3.0,Attchd,1973.0,2.0,2.0,484.0,3.0,3.0,1,235,190,0,0,0,0,0,0,11,2009,WD,Normal,200000.0
9,50,RM,51.0,6120.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,7.0,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0.0,0.0,0,952.0,952.0,GasA,4,Y,1,1022.0,752,0,1774.0,0.0,0,2,0,4.0,1,3,8,Min1,2.0,3.0,Detchd,1931.0,1.0,2.0,468.0,3.0,3.0,1,90,0,0,0,0,0,0,0,4,2008,WD,Abnorml,129900.0
10,190,RL,50.0,7420.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,7.0,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,5.0,851.0,0.0,0,140.0,991.0,GasA,5,Y,1,1077.0,0,0,1077.0,1.0,0,1,0,2.0,1,3,5,Typ,2.0,3.0,Attchd,1939.0,2.0,1.0,205.0,3.0,3.0,1,0,4,0,0,0,0,0,0,1,2008,WD,Normal,118000.0
